#HDR T 700.000000
#HDR DT 0.040000
#HDR theta0 0.087000
#HDR omega0 1000.000000
#HDR L 1.000000
#HDR M 1.000000
#HDR g 9.810000
#passo tempo theta w alpha
335.000000 13.400000 13398.915039 999.823547 0.219446
336.000000 13.440000 13438.908203 999.972107 7.207038
337.000000 13.480000 13478.913086 999.920837 -9.770125
338.000000 13.520000 13518.902344 999.840881 5.772813
339.000000 13.559999 13558.900391 999.997925 2.078582
340.000000 13.599999 13598.902344 999.869080 -8.520401
341.000000 13.639999 13638.890625 999.884033 9.268270
342.000000 13.679999 13678.893555 999.993164 -3.812431
343.000000 13.719999 13718.890625 999.832520 -4.218304
344.000000 13.759999 13758.880859 999.936951 9.439169
345.000000 13.799999 13798.885742 999.959473 -8.311632
346.000000 13.840000 13838.876953 999.824768 1.575637
347.000000 13.880000 13878.871094 999.980469 6.208420
348.000000 13.920000 13918.875000 999.908691 -9.798347
349.000000 13.960000 13958.863281 999.848877 6.808785
350.000000 14.000000 13998.863281 999.999451 0.721199
351.000000 14.040000 14038.864258 999.858582 -7.764925
352.000000 14.080000 14078.852539 999.895752 9.624196
353.000000 14.120000 14118.856445 999.987549 -5.035763
354.000000 14.160000 14158.851562 999.827637 -2.960163
355.000000 14.200000 14198.842773 999.947998 8.978179
356.000000 14.240000 14238.847656 999.948486 -8.953214
357.000000 14.280000 14278.838867 999.827454 2.901458
358.000000 14.320000 14318.833984 999.987244 5.088456
359.000000 14.360000 14358.836914 999.896240 -9.637714
360.000000 14.400000 14398.825195 999.857910 7.721273
361.000000 14.440000 14438.825195 999.999512 -0.640719
362.000000 14.480000 14478.824219 999.849243 -6.873472
363.000000 14.520000 14518.812500 999.907654 9.793534
364.000000 14.559999 14558.816406 999.980774 -6.138278
365.000000 14.599999 14598.810547 999.824707 -1.664652
366.000000 14.639999 14638.802734 999.958496 8.354203
367.000000 14.679999 14678.807617 999.937256 -9.416879
368.000000 14.719999 14718.796875 999.831665 4.136642
369.000000 14.759999 14758.792969 999.992493 3.904219
370.000000 14.799999 14798.795898 999.884583 -9.300507
371.000000 14.839999 14838.783203 999.867859 8.465645
372.000000 14.880000 14878.785156 999.997742 -1.971524
373.000000 14.920000 14918.783203 999.841064 -5.860917
374.000000 14.960000 14958.771484 999.919434 9.780125
375.000000 15.000000 14998.776367 999.972534 -7.125780
376.000000 15.040000 15038.769531 999.823242 -0.338392
377.000000 15.080000 15078.762695 999.967957 7.573696
378.000000 15.120000 15118.767578 999.925354 -9.704103
379.000000 15.160000 15158.756836 999.837524 5.312627
380.000000 15.200000 15198.753906 999.996338 2.629414
381.000000 15.240000 15238.755859 999.873169 -8.787254
382.000000 15.280000 15278.744141 999.878784 9.066892
383.000000 15.320000 15318.746094 999.994629 -3.274420
384.000000 15.360000 15358.743164 999.834534 -4.731715
385.000000 15.400000 15398.732422 999.931519 9.581978
386.000000 15.440000 15438.737305 999.963440 -7.985337
387.000000 15.480000 15478.729492 999.823792 1.003648
388.000000 15.520000 15518.723633 999.976746 6.644237
389.000000 15.559999 15558.727539 999.913452 -9.809503
390.000000 15.599999 15598.715820 999.844910 6.381798
391.000000 15.639999 15638.714844 999.998657 1.304638
392.000000 15.679999 15678.715820 999.862549 -8.109358
393.000000 15.719999 15718.703125 999.890198 9.491000
394.000000 15.759999 15758.707031 999.989746 -4.515088
395.000000 15.799999 15798.703125 999.829163 -3.513857
396.000000 15.839999 15838.693359 999.942932 9.201731
397.000000 15.880000 15878.699219 999.953003 -8.697573
398.000000 15.920000 15918.690430 999.825806 2.336188
399.000000 15.960000 15958.685547 999.984131 5.580632
400.000000 16.000000 15998.689453 999.901184 -9.728660
401.000000 16.039999 16038.677734 999.853638 7.352149
402.000000 16.080000 16078.677734 999.999390 -0.064091
403.000000 16.119999 16118.677734 999.852783 -7.266660
404.000000 16.160000 16158.666016 999.902344 9.744302
405.000000 16.199999 16198.669922 999.983521 -5.685574
406.000000 16.240000 16238.664062 999.825378 -2.220829
407.000000 16.279999 16278.655273 999.953796 8.642080
408.000000 16.320000 16318.660156 999.941833 -9.238955
409.000000 16.359999 16358.650391 999.829346 3.615427
410.000000 16.400000 16398.646484 999.989990 4.418022
411.000000 16.440001 16438.650391 999.889099 -9.462838
412.000000 16.480000 16478.638672 999.863342 8.175505
413.000000 16.520000 16518.638672 999.998596 -1.412610
414.000000 16.559999 16558.636719 999.844238 -6.305947
415.000000 16.600000 16598.625000 999.914307 9.807996
416.000000 16.639999 16638.628906 999.976135 -6.717056
417.000000 16.680000 16678.623047 999.823730 -0.904676
418.000000 16.719999 16718.615234 999.964172 7.927165
419.000000 16.760000 16758.619141 999.930725 -9.600838
420.000000 16.799999 16798.609375 999.835083 4.818582
421.000000 16.840000 16838.607422 999.994873 3.171449
422.000000 16.879999 16878.609375 999.877808 -9.024709
423.000000 16.920000 16918.595703 999.873840 8.826836
424.000000 16.959999 16958.597656 999.996033 -2.715877
425.000000 17.000000 16998.595703 999.837158 -5.228757
426.000000 17.039999 17038.585938 999.926331 9.687528
427.000000 17.080000 17078.589844 999.967346 -7.636509
428.000000 17.119999 17118.582031 999.823181 0.428187
429.000000 17.160000 17158.574219 999.973145 7.070364
430.000000 17.199999 17198.578125 999.918823 -9.785384
431.000000 17.240000 17238.566406 999.841492 5.917461
432.000000 17.279999 17278.564453 999.997864 1.902213
433.000000 17.320000 17318.566406 999.867310 -8.429701
434.000000 17.359999 17358.554688 999.885254 9.325731
435.000000 17.400000 17398.558594 999.992065 -3.986494
436.000000 17.440001 17438.554688 999.831238 -4.054986
437.000000 17.480000 17478.544922 999.937927 9.388526
438.000000 17.520000 17518.550781 999.957458 -8.410835
439.000000 17.559999 17558.542969 999.824707 1.771989
440.000000 17.600000 17598.537109 999.981201 6.052856
441.000000 17.639999 17638.541016 999.906555 -9.786615
442.000000 17.680000 17678.529297 999.849854 6.950833
443.000000 17.719999 17718.529297 999.999329 0.522325
444.000000 17.760000 17758.529297 999.856812 -7.647551
445.000000 17.799999 17798.517578 999.897034 9.659140
446.000000 17.840000 17838.521484 999.986267 -5.197609
447.000000 17.879999 17878.517578 999.826904 -2.769577
448.000000 17.920000 17918.507812 999.949524 8.900060
449.000000 17.959999 17958.513672 999.946899 -9.032808
450.000000 18.000000 17998.503906 999.827881 3.082116
451.000000 18.039999 18038.498047 999.988220 4.933614
452.000000 18.080000 18078.501953 999.894897 -9.600519
453.000000 18.119999 18118.490234 999.859619 7.836838
454.000000 18.160000 18158.490234 999.999756 -0.829881
455.000000 18.199999 18198.490234 999.848572 -6.729879
456.000000 18.240000 18238.478516 999.910034 9.803054
457.000000 18.279999 18278.482422 999.980225 -6.292448
458.000000 18.320000 18318.476562 999.825012 -1.467934
459.000000 18.359999 18358.466797 999.960815 8.258384
460.000000 18.400000 18398.470703 999.936707 -9.463247
461.000000 18.440001 18438.460938 999.833435 4.299257
462.000000 18.480000 18478.458984 999.993835 3.720610
463.000000 18.520000 18518.462891 999.883606 -9.231971
464.000000 18.559999 18558.451172 999.870422 8.573907
465.000000 18.600000 18598.453125 999.998230 -2.184999
466.000000 18.639999 18638.451172 999.840820 -5.684310
467.000000 18.680000 18678.441406 999.922302 9.758729
468.000000 18.719999 18718.445312 999.971863 -7.280557
469.000000 18.760000 18758.437500 999.823853 -0.120018
470.000000 18.799999 18798.429688 999.970215 7.439244
471.000000 18.840000 18838.433594 999.924377 -9.731300
472.000000 18.879999 18878.421875 999.839172 5.471097
473.000000 18.920000 18918.419922 999.997314 2.436898
474.000000 18.959999 18958.421875 999.872131 -8.696855
475.000000 19.000000 18998.408203 999.880859 9.134127
476.000000 19.039999 19038.412109 999.994324 -3.461581
